task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
fcc82909,14.47,10,2271,11912,0.1
fcc82909,18.99,10,2271,16161,0.3
fcc82909,17.82,10,2271,22147,0.5
fcc82909,20.05,10,2271,25113,0.7
fcc82909,15.18,10,2271,15902,0.9
44f52bb0,15.2,10,693,10620,0.1
44f52bb0,7.54,10,693,10084,0.3
44f52bb0,8.51,10,693,9324,0.5
44f52bb0,7.39,10,693,8748,0.7
44f52bb0,6.67,10,693,8184,0.9
ded97339,18.95,10,2271,20082,0.1
ded97339,15.0,10,2271,9614,0.3
ded97339,17.77,10,2271,17274,0.5
ded97339,16.9,10,2271,13368,0.7
ded97339,17.81,10,2271,17708,0.9
776ffc46,19.15,10,10085,15603,0.1
776ffc46,18.54,10,10085,14012,0.3
776ffc46,18.65,10,10085,11021,0.5
776ffc46,17.18,10,10085,13681,0.7
776ffc46,19.05,10,10085,12105,0.9
b27ca6d3,18.85,10,3517,27848,0.1
b27ca6d3,17.4,10,3517,15213,0.3
b27ca6d3,19.06,10,3517,22111,0.5
b27ca6d3,18.41,10,3517,23597,0.7
b27ca6d3,18.13,10,3517,19621,0.9
ff28f65a,17.95,10,1630,21563,0.1
ff28f65a,17.82,10,1630,18770,0.3
ff28f65a,14.44,10,1630,15123,0.5
ff28f65a,13.0,10,1630,13954,0.7
ff28f65a,17.1,10,1630,14726,0.9
5ad4f10b,18.06,10,5166,14145,0.1
5ad4f10b,13.93,10,5166,15411,0.3
5ad4f10b,18.75,10,5166,18902,0.5
5ad4f10b,19.14,10,5166,15087,0.7
5ad4f10b,18.23,10,5166,15995,0.9
c0f76784,18.35,10,3063,19990,0.1
c0f76784,18.2,10,3063,20138,0.3
c0f76784,18.34,10,3063,21872,0.5
c0f76784,19.07,10,3063,24308,0.7
c0f76784,18.73,10,3063,24116,0.9
a1570a43,18.84,10,2237,24290,0.1
a1570a43,18.03,10,2237,22548,0.3
a1570a43,18.27,10,2237,18923,0.5
a1570a43,19.64,10,2237,22635,0.7
a1570a43,16.25,10,2237,18055,0.9
6455b5f5,19.79,10,5243,12093,0.1
6455b5f5,18.18,10,5243,13736,0.3
6455b5f5,25.75,10,5243,18415,0.5
6455b5f5,11.64,10,5243,10996,0.7
6455b5f5,18.33,10,5243,18552,0.9
