task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
f8ff0b80,18.43,10,1794,24261,0.1
f8ff0b80,18.44,10,1794,18486,0.3
f8ff0b80,17.6,10,1794,13551,0.5
f8ff0b80,18.13,10,1794,16250,0.7
f8ff0b80,17.61,10,1794,17534,0.9
a64e4611,19.64,10,16671,9906,0.1
a64e4611,6.66,10,16671,7514,0.3
a64e4611,14.02,10,16671,8408,0.5
a64e4611,11.57,10,16671,7655,0.7
a64e4611,11.11,10,16671,8817,0.9
0962bcdd,15.03,10,2185,19602,0.1
0962bcdd,18.53,10,2185,23905,0.3
0962bcdd,17.85,10,2185,16695,0.5
0962bcdd,18.35,10,2185,22936,0.7
0962bcdd,15.72,10,2185,18140,0.9
7b6016b9,12.64,10,9969,14977,0.1
7b6016b9,19.24,10,9969,18352,0.3
7b6016b9,20.07,10,9969,12431,0.5
7b6016b9,12.59,10,9969,10381,0.7
7b6016b9,20.69,10,9969,14796,0.9
2dee498d,6.4,10,819,8274,0.1
2dee498d,6.75,10,819,8256,0.3
2dee498d,6.56,10,819,8290,0.5
2dee498d,7.88,10,819,8049,0.7
2dee498d,5.83,10,819,7491,0.9
a85d4709,9.47,10,701,10690,0.1
a85d4709,17.38,10,701,13716,0.3
a85d4709,8.54,10,701,11293,0.5
a85d4709,10.23,10,701,10778,0.7
a85d4709,14.65,10,701,12693,0.9
1b60fb0c,18.31,10,2271,24092,0.1
1b60fb0c,19.76,10,2271,17615,0.3
1b60fb0c,15.78,10,2271,12088,0.5
1b60fb0c,17.81,10,2271,17252,0.7
1b60fb0c,15.58,10,2271,17392,0.9
63613498,18.01,10,2271,12138,0.1
63613498,13.94,10,2271,10686,0.3
63613498,13.2,10,2271,10971,0.5
63613498,15.87,10,2271,16654,0.7
63613498,31.33,10,2271,17519,0.9
b8cdaf2b,10.52,10,1133,14987,0.1
b8cdaf2b,10.14,10,1133,14160,0.3
b8cdaf2b,11.68,10,1133,16167,0.5
b8cdaf2b,11.36,10,1133,15323,0.7
b8cdaf2b,16.69,10,1133,16536,0.9
1e32b0e9,12.05,10,5673,10117,0.1
1e32b0e9,17.93,10,5673,14903,0.3
1e32b0e9,18.22,10,5673,16756,0.5
1e32b0e9,18.63,10,5673,15044,0.7
1e32b0e9,18.44,10,5673,20100,0.9
694f12f3,12.18,10,1657,15165,0.1
694f12f3,12.81,10,1657,16177,0.3
694f12f3,12.79,10,1657,17353,0.5
694f12f3,13.71,10,1657,12000,0.7
694f12f3,19.15,10,1657,18418,0.9
dae9d2b5,14.38,10,904,13084,0.1
dae9d2b5,16.8,10,904,18164,0.3
dae9d2b5,12.7,10,904,16032,0.5
dae9d2b5,11.78,10,904,14423,0.7
dae9d2b5,17.41,10,904,13931,0.9
d2abd087,17.74,10,2271,19627,0.1
d2abd087,20.82,10,2271,25060,0.3
d2abd087,17.71,10,2271,19624,0.5
d2abd087,18.44,10,2271,16740,0.7
d2abd087,20.06,10,2271,15981,0.9
d406998b,15.85,10,1367,19227,0.1
d406998b,12.5,10,1367,17481,0.3
d406998b,15.26,10,1367,18746,0.5
d406998b,10.68,10,1367,15151,0.7
d406998b,14.94,10,1367,16967,0.9
363442ee,16.77,10,2577,20184,0.1
363442ee,19.66,10,2577,21990,0.3
363442ee,18.74,10,2577,24578,0.5
363442ee,18.18,10,2577,21748,0.7
363442ee,18.08,10,2577,18083,0.9
93b581b8,12.35,10,1119,15378,0.1
93b581b8,11.76,10,1119,11384,0.3
93b581b8,13.43,10,1119,13069,0.5
93b581b8,11.16,10,1119,14020,0.7
93b581b8,17.2,10,1119,15975,0.9
150deff5,12.33,10,1977,10691,0.1
150deff5,15.05,10,1977,13624,0.3
150deff5,18.13,10,1977,22118,0.5
150deff5,16.89,10,1977,12957,0.7
150deff5,19.78,10,1977,18153,0.9
8eb1be9a,16.68,10,2887,11943,0.1
8eb1be9a,7.27,10,2887,7848,0.3
8eb1be9a,22.02,10,2887,10286,0.5
8eb1be9a,18.94,10,2887,8540,0.7
8eb1be9a,21.3,10,2887,16792,0.9
3e980e27,17.82,10,4541,13086,0.1
3e980e27,18.77,10,4541,27326,0.3
3e980e27,19.56,10,4541,28134,0.5
3e980e27,19.45,10,4541,25666,0.7
3e980e27,32.06,10,4541,18315,0.9
bda2d7a6,15.46,10,1287,15087,0.1
bda2d7a6,14.44,10,1287,12787,0.3
bda2d7a6,13.51,10,1287,14360,0.5
bda2d7a6,16.18,10,1287,18676,0.7
bda2d7a6,16.8,10,1287,14010,0.9
a48eeaf7,13.54,10,1657,11048,0.1
a48eeaf7,6.35,10,1657,7614,0.3
a48eeaf7,12.6,10,1657,9788,0.5
a48eeaf7,13.82,10,1657,12944,0.7
a48eeaf7,11.27,10,1657,10690,0.9
ea32f347,18.03,10,2885,11937,0.1
ea32f347,17.5,10,2885,19605,0.3
ea32f347,18.24,10,2885,23801,0.5
ea32f347,18.65,10,2885,21377,0.7
ea32f347,17.91,10,2885,18164,0.9
8731374e,18.6,10,4863,14869,0.1
8731374e,10.18,10,4863,10226,0.3
8731374e,11.86,10,4863,12630,0.5
8731374e,18.4,10,4863,12880,0.7
8731374e,17.84,10,4863,13901,0.9
e98196ab,17.17,10,2055,16508,0.1
e98196ab,17.87,10,2055,16499,0.3
e98196ab,17.56,10,2055,17162,0.5
e98196ab,17.87,10,2055,18311,0.7
e98196ab,17.96,10,2055,21069,0.9
7837ac64,19.16,10,10013,18402,0.1
7837ac64,19.36,10,10013,22541,0.3
7837ac64,19.15,10,10013,20112,0.5
7837ac64,14.18,10,10013,12794,0.7
7837ac64,20.39,10,10013,15732,0.9
e3497940,12.05,10,1641,10989,0.1
e3497940,13.72,10,1641,11017,0.3
