task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
75b8110e,17.79,10,1699,21487,0.1
75b8110e,18.02,10,1699,19597,0.3
75b8110e,18.73,10,1699,21176,0.5
75b8110e,19.97,10,1699,19208,0.7
75b8110e,18.76,10,1699,21557,0.9
3618c87e,9.29,10,921,11608,0.1
3618c87e,11.17,10,921,11601,0.3
3618c87e,9.01,10,921,11387,0.5
3618c87e,7.47,10,921,9216,0.7
3618c87e,9.42,10,921,11214,0.9
3ac3eb23,7.64,10,1069,9211,0.1
3ac3eb23,18.65,10,1069,11443,0.3
3ac3eb23,10.66,10,1069,11524,0.5
3ac3eb23,8.59,10,1069,9274,0.7
3ac3eb23,13.72,10,1069,11624,0.9
3c9b0459,11.56,10,701,13851,0.1
3c9b0459,17.26,10,701,12530,0.3
3c9b0459,10.38,10,701,13461,0.5
3c9b0459,9.4,10,701,11847,0.7
3c9b0459,11.05,10,701,12825,0.9
ba97ae07,30.21,10,2501,10099,0.1
ba97ae07,16.72,10,2501,11859,0.3
ba97ae07,18.13,10,2501,15615,0.5
ba97ae07,25.14,10,2501,12389,0.7
ba97ae07,16.92,10,2501,15365,0.9
846bdb03,23.29,10,2987,23162,0.1
846bdb03,17.85,10,2987,15534,0.3
846bdb03,20.37,10,2987,25351,0.5
846bdb03,18.42,10,2987,17154,0.7
846bdb03,23.27,10,2987,19623,0.9
10fcaaa3,14.61,10,1250,15896,0.1
10fcaaa3,11.82,10,1250,13521,0.3
10fcaaa3,14.44,10,1250,14374,0.5
10fcaaa3,23.59,10,1250,14604,0.7
10fcaaa3,22.7,10,1250,18940,0.9
72322fa7,13.93,10,4719,13891,0.1
72322fa7,18.79,10,4719,17187,0.3
72322fa7,26.97,10,4719,15942,0.5
72322fa7,18.85,10,4719,17545,0.7
72322fa7,17.61,10,4719,13687,0.9
d9f24cd1,11.57,10,1657,11448,0.1
d9f24cd1,13.0,10,1657,11080,0.3
d9f24cd1,11.98,10,1657,11629,0.5
d9f24cd1,13.31,10,1657,12430,0.7
d9f24cd1,13.32,10,1657,10838,0.9
