task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
75b8110e,22.08,10,1548,6563,0.1
75b8110e,12.49,10,1548,5706,0.2
75b8110e,23.45,10,1548,6777,0.3
75b8110e,42.18,10,1548,10896,0.5
75b8110e,10.04,10,1548,4668,0.5
75b8110e,11.99,10,1548,5490,0.6
75b8110e,20.58,10,1548,6824,0.6
75b8110e,31.03,10,1548,7545,0.7
75b8110e,8.6,10,1548,4773,0.8
75b8110e,13.52,10,1548,5902,0.9
3618c87e,9.79,10,770,4686,0.1
3618c87e,8.46,10,770,5149,0.2
3618c87e,7.83,10,770,5575,0.3
3618c87e,8.4,10,770,4691,0.5
3618c87e,8.4,10,770,4317,0.5
3618c87e,15.88,10,770,5604,0.6
3618c87e,11.77,10,770,5941,0.6
3618c87e,8.27,10,770,4748,0.7
3618c87e,12.52,10,770,5703,0.8
3618c87e,8.91,10,770,4927,0.9
3ac3eb23,10.55,10,918,6775,0.1
3ac3eb23,8.69,10,918,5930,0.2
3ac3eb23,17.93,10,918,6456,0.3
3ac3eb23,13.11,10,918,5637,0.5
3ac3eb23,9.93,10,918,6088,0.5
3ac3eb23,18.84,10,918,8036,0.6
3ac3eb23,17.3,10,918,5423,0.6
3ac3eb23,10.04,10,918,5453,0.7
3ac3eb23,10.24,10,918,5517,0.8
3ac3eb23,11.25,10,918,5428,0.9
3c9b0459,32.64,10,550,8674,0.1
3c9b0459,14.83,10,550,6102,0.2
3c9b0459,12.39,10,550,6161,0.3
3c9b0459,65.86,10,550,8115,0.5
3c9b0459,11.68,10,550,6270,0.5
3c9b0459,13.69,10,550,6950,0.6
3c9b0459,9.66,10,550,5672,0.6
3c9b0459,36.22,10,550,12077,0.7
3c9b0459,13.51,10,550,5728,0.8
3c9b0459,13.83,10,550,7012,0.9
ba97ae07,8.71,10,2350,5664,0.1
ba97ae07,8.74,10,2350,5091,0.2
ba97ae07,9.89,10,2350,6135,0.3
ba97ae07,12.39,10,2350,5458,0.5
ba97ae07,10.08,10,2350,5727,0.5
ba97ae07,8.45,10,2350,5298,0.6
ba97ae07,10.64,10,2350,5647,0.6
ba97ae07,12.91,10,2350,6315,0.7
ba97ae07,11.97,10,2350,6228,0.8
ba97ae07,11.16,10,2350,5499,0.9
846bdb03,36.99,10,2836,12905,0.1
846bdb03,35.66,10,2836,10797,0.2
846bdb03,25.87,10,2836,6611,0.3
846bdb03,34.53,10,2836,8057,0.5
846bdb03,35.72,10,2836,8161,0.5
846bdb03,39.63,10,2836,19519,0.6
846bdb03,32.77,10,2836,9334,0.6
846bdb03,28.67,10,2836,8217,0.7
846bdb03,27.03,10,2836,6101,0.8
846bdb03,34.31,10,2836,8010,0.9
10fcaaa3,5.49,10,1099,4713,0.1
10fcaaa3,8.4,10,1099,5403,0.2
10fcaaa3,12.9,10,1099,5262,0.3
10fcaaa3,22.02,10,1099,6246,0.5
10fcaaa3,16.9,10,1099,6839,0.5
10fcaaa3,10.55,10,1099,6048,0.6
10fcaaa3,16.79,10,1099,6845,0.6
10fcaaa3,11.57,10,1099,6463,0.7
10fcaaa3,18.64,10,1099,6784,0.8
10fcaaa3,20.07,10,1099,7839,0.9
72322fa7,15.12,10,4568,6413,0.1
72322fa7,37.27,10,4568,9921,0.2
72322fa7,37.17,10,4568,13590,0.3
72322fa7,16.69,10,4568,7437,0.5
72322fa7,39.94,10,4568,8526,0.5
72322fa7,19.87,10,4568,7663,0.6
72322fa7,11.37,10,4568,5259,0.6
72322fa7,14.75,10,4568,6420,0.7
72322fa7,39.42,10,4568,8507,0.8
72322fa7,39.94,10,4568,9825,0.9
d9f24cd1,15.33,10,1506,6280,0.1
d9f24cd1,7.78,10,1506,4614,0.2
d9f24cd1,6.76,10,1506,4554,0.3
d9f24cd1,8.63,10,1506,5108,0.5
d9f24cd1,9.5,10,1506,5306,0.5
d9f24cd1,6.35,10,1506,4532,0.6
d9f24cd1,8.7,10,1506,5241,0.6
d9f24cd1,6.85,10,1506,4539,0.7
d9f24cd1,7.39,10,1506,5079,0.8
d9f24cd1,9.62,10,1506,4744,0.9
3631a71a,45.14,10,21934,9268,0.1
3631a71a,15.77,10,21934,6079,0.2
3631a71a,44.04,10,21934,8599,0.3
3631a71a,43.11,10,21934,9926,0.5
3631a71a,49.25,10,21934,17079,0.5
3631a71a,44.54,10,21934,9154,0.6
3631a71a,40.14,10,21934,9194,0.6
3631a71a,69.43,10,21934,11258,0.7
3631a71a,47.72,10,21934,12524,0.8
